,0,1,2,3,4,5,6,7,8,9
191,820,32935,164,15335,431,440,28977,12431,6114,15417
192,820,32935,7311,4181,11061,9969,918,28977,2001,19
193,820,3002,22,256,32935,15417,329,263,9969,11665
194,820,2001,9969,12355,918,11061,32935,4181,15417,12431
195,9253,15417,820,5040,4181,32281,3002,486,918,6211
196,820,4181,15417,32935,9253,263,918,2001,32281,28977
197,820,11061,12431,918,4181,23273,28977,457,9253,9969
198,18689,7785,94,1829,32542,3002,820,433,10460,10397
199,4181,918,9253,15417,32935,7311,820,11061,5114,16498
200,12355,820,918,15417,4181,32935,12431,2001,9969,15335
201,820,2001,392,440,1,9969,2904,12431,11061,4181
202,820,5114,9253,2001,32935,918,12355,199,12431,440
203,820,4181,918,2904,11061,28977,9253,9969,2001,23273
204,820,32935,28977,5114,4181,12431,11061,9253,1,440
205,440,918,4181,1535,9253,28977,32935,12431,245,13125
206,9253,820,12431,11061,4181,9969,32935,2001,918,1535
207,820,918,3002,32935,12431,15417,7311,9969,1,486
208,820,4181,11061,32935,164,9253,245,15335,5114,15417
209,820,9969,918,32935,15417,440,12431,2001,4181,777
210,820,22135,918,15335,12431,12355,15417,121,2001,164
211,820,918,4181,32935,12431,12355,431,15417,9969,2001
212,5114,9253,4181,11061,3002,23273,15417,918,2001,2904
213,2904,2001,15417,9969,32935,164,5114,820,28977,918
214,820,2001,5114,918,9253,32935,9969,4181,269,1
215,11061,820,32935,1,12355,12431,918,440,15417,2001
216,820,4181,32935,12355,918,2904,9253,28977,11061,15417
217,820,32935,11061,9253,1535,9969,28977,12355,4181,9989
218,529,25835,5258,387,21339,18245,122,32935,7465,820
219,820,32935,12355,164,1575,431,9989,12431,13125,15417
220,820,4181,32935,918,28977,12355,9253,1535,392,440
221,136,147,18689,3002,31240,7785,30885,25835,18245,32542
222,820,4181,32935,164,11061,1535,918,2001,813,15335
224,820,32935,1535,15417,12355,12431,9969,263,918,2001
225,820,9253,4181,32935,918,1535,9989,15417,1,2001
226,820,32935,9969,440,12431,6114,15417,15335,28977,22135
227,820,4181,28977,5114,11061,9253,32935,245,15417,12431
228,820,32935,918,12355,12431,2001,28977,15417,440,6114
229,11061,5114,918,15417,32935,9969,2904,2164,199,263
230,820,11061,32935,199,28977,9253,1575,2001,10165,7785
231,1,820,32935,9253,28977,4181,11061,440,11577,263
232,820,5114,11061,15417,918,8142,9969,3002,23273,28977
233,1,17909,15451,3091,3002,16067,2952,2924,16662,2904
234,32935,2904,431,12431,9969,15417,9253,1575,12355,4181
235,820,32935,813,918,199,9969,15335,440,22135,11061
236,820,9253,32935,918,199,1,6746,5114,9969,4181
237,1827,7785,136,18245,31953,12471,1690,25835,5258,7193
238,9253,4181,11061,3002,23273,15417,918,2001,2904,820
239,820,4181,12355,9253,32935,918,2904,28977,245,440
240,18245,147,18689,3002,8876,31737,29589,12471,7785,32542
241,820,4181,32935,2001,9756,1,11061,440,23273,164
242,820,5114,431,32935,9989,4181,199,9969,918,12431
243,820,4181,32935,440,9253,11061,28977,457,918,199
244,11061,1575,15335,15417,4181,12431,2904,164,6114,28977
245,5114,820,9253,32935,1575,4181,2001,32,440,1
246,820,32935,1,4181,2904,440,918,5114,9969,11061
247,820,4181,1535,32935,164,16498,9969,15417,13601,1
248,32935,820,440,813,6114,22135,15335,9969,12431,15417
249,820,9253,32935,9969,4181,16498,1,440,15417,2001
250,820,32935,918,440,15335,9969,12431,2001,22135,28977
251,820,32935,4181,918,28977,7311,10162,12355,440,11741
252,820,9253,918,32935,9969,4181,11757,15417,1575,263
253,820,9253,32935,4181,918,9969,6114,15417,22135,440
254,820,32935,245,4181,13125,12431,15417,10162,4282,5258
255,820,9253,918,1,32935,28977,164,4181,16498,15417
256,164,2001,22135,5258,1575,9969,15417,15335,5114,918
257,820,12431,32935,160,3002,199,5114,4181,918,440
258,820,918,32935,2001,1,9253,28977,9969,4181,12431
259,3002,12431,7785,32935,486,32542,15417,11061,820,31043
260,820,32935,9253,16498,4181,918,440,15335,7311,2001
261,820,32935,9253,918,2001,12431,15335,440,11061,28977
262,820,9253,32935,918,199,4181,28977,15417,12355,2001
263,820,2001,15335,32935,4181,9969,164,440,15417,5114
264,820,32935,28977,431,12431,918,440,12355,6114,10162
265,820,918,4181,5114,16498,440,32935,28977,9253,15417
266,820,15417,918,9969,32935,12431,28977,9989,9253,8142
267,18245,18689,3002,12471,379,32542,31741,7785,28675,29589
268,820,9253,32935,4181,813,1575,15335,440,15417,2001
269,820,199,918,32935,11061,15335,2001,4181,15417,9989
270,3002,486,4177,322,1690,5258,11061,170,32935,19647
271,5114,2001,32935,820,918,16498,2904,1,28977,440
272,820,9989,1,918,32935,2001,15417,12355,15335,23273
273,820,199,32935,15335,2001,5114,918,431,30,15417
274,18689,3002,861,15197,14813,14829,14833,14837,14921,14967
275,820,4181,918,9969,431,2001,32935,1,30,15417
276,820,4181,32935,2001,6114,918,15335,440,15417,12431
277,820,4181,28977,15417,918,12355,12431,32281,32935,2001
278,9969,820,2001,5114,918,1535,15417,4181,11061,32935
279,820,2001,16498,32935,199,9253,11061,440,1,12365
280,820,32935,9253,199,164,28977,11061,6114,5114,15417
281,820,918,9969,15417,30,8142,12431,431,4181,2167
282,1,199,16894,918,26055,15417,15335,14719,1575,1604
283,32935,4181,9253,820,3002,7785,12431,15417,440,5040
284,820,1535,9253,11061,32935,918,9989,2001,15417,12431
285,18689,32542,5,14837,14397,14467,14513,14527,14713,14719
286,820,9253,32935,4181,12431,2001,2904,12355,440,1575
287,440,5114,820,32935,28891,4181,28977,431,6114,457
288,5114,32935,918,9253,440,15417,28977,12431,23273,263
289,486,31741,8557,7785,3002,11061,18245,28391,5205,4722
290,820,9253,2001,4181,9969,5114,1575,2904,32935,918
291,820,4181,11061,15417,32935,2001,9253,431,918,12431
292,820,4181,5114,32935,918,2001,9969,12355,440,6114
293,820,5114,32935,918,12431,15335,11061,440,15417,22135
294,820,32935,440,9969,15417,15335,12431,28977,918,486
295,1,12431,440,820,918,2001,4181,9969,9989,12355
296,820,4181,32935,199,164,813,7311,12355,392,440
297,9253,32935,5114,820,2904,918,440,1575,245,13125
298,820,32935,4181,9989,813,12431,440,6114,30,28977
299,440,32935,4181,9253,820,918,245,15417,1535,5258
300,820,32935,2001,32,431,440,12431,164,1,1535
301,820,32935,12431,2001,440,6114,5114,15335,22135,431
302,31741,3002,18689,18245,12471,7785,136,94,486,11061
303,1,1889,5114,5040,4898,4224,4181,3784,3701,3002
304,440,12431,15335,9253,5114,263,11061,4181,918,164
305,820,2001,1,32935,15417,12431,23273,16498,5114,523
306,820,199,32935,15417,918,4181,16498,12355,12431,28977
307,820,1,32935,4181,918,15417,28977,9253,440,9989
308,820,6114,9989,15417,9253,16498,199,32935,12431,4181
309,164,4181,820,32935,32,15417,440,1535,1575,9969
310,18689,3002,820,379,7785,486,416,24893,587,31741
311,820,918,32935,4181,9253,15417,2904,28977,12355,23273
312,820,32935,918,12355,4181,9969,1,199,15417,2904
313,820,2164,7785,32935,3002,1690,4087,272,9969,9253
314,820,5114,199,32935,440,164,9969,4181,1,15335
315,820,4181,32935,199,15335,440,32,6114,431,9756
316,820,918,32935,9969,199,9253,12355,1,440,15417
317,820,9253,32935,164,1575,2001,440,9969,15417,22135
318,440,820,918,32935,11061,28977,1,7785,245,12355
319,820,4181,2001,32935,431,12431,16498,918,2904,15417
320,820,32935,4181,1575,9969,440,12431,22135,15417,28977
321,918,820,4181,32935,2001,813,15335,11061,28977,12431
322,820,32935,9253,2904,1575,30,9989,9969,28977,15335
323,820,11061,5114,4181,9969,164,32935,440,1575,431
324,820,4181,918,12431,15335,32935,9989,2001,5114,15417
325,820,199,2001,32935,4181,9253,9989,9969,28977,431
326,1,164,813,777,5114,5258,12431,578,6114,523
327,820,32935,4181,440,9253,918,11061,9969,2904,7311
328,379,18689,3002,7785,18245,25835,486,12471,32542,31240
329,820,4181,5114,1,918,2001,32935,2251,15417,440
330,11061,4181,2001,32935,820,918,15417,32,9253,245
331,820,11061,32,32935,9989,918,4181,9969,15417,440
332,820,9253,32935,4181,918,431,440,199,9989,1575
333,820,32935,3002,7785,1690,170,440,9969,11061,9253
334,820,918,1,32935,9969,4181,12355,15417,17074,12431
335,820,9253,32935,12355,1535,4181,9969,9989,2001,918
336,820,32935,11061,9969,1575,440,431,15417,918,1
337,820,4181,32935,28977,9253,457,11061,3002,15417,486
338,7785,31741,820,147,19365,15417,57,9969,7465,31914
339,32935,5258,9969,918,11061,15417,3002,26055,440,14719
340,820,9253,32935,918,5114,1,2001,1575,440,2904
341,820,32935,918,440,15335,28977,12431,6114,15417,10620
342,820,440,15417,32935,392,813,263,5258,7785,32281
343,820,4181,9253,2001,918,12355,11061,15417,32935,7311
344,820,32935,9253,245,1535,440,12355,28977,4181,12431
345,820,199,32935,5114,9989,6114,4181,440,15417,2167
346,820,431,9253,5114,32935,9989,199,918,2001,1575
347,28675,1829,32998,8876,32282,392,18245,25781,874,1690
348,820,32935,4181,813,918,9969,15417,5114,12431,457
349,820,918,9969,32935,2001,440,15417,15335,12431,6114
350,820,32935,12431,431,28977,9969,918,440,15417,6114
351,379,18245,31741,18689,16904,3002,31772,529,28675,486
352,820,32935,164,32,30,440,12431,12355,28977,431
353,820,32935,15417,5114,28891,440,918,1,6114,12431
354,820,5114,918,1575,32935,2001,1,813,9969,12431
356,32935,1535,263,11061,440,15417,12431,23273,6114,28977
357,820,32935,4181,12355,28977,12431,1,431,19647,440
358,4181,820,32935,11061,431,1,164,918,5114,199
359,11741,1535,5114,15417,2001,1575,28977,4181,820,440
360,9253,440,32935,820,4181,1575,918,11061,28977,9756
361,820,32935,918,164,9969,15335,9253,22135,440,6114
362,820,4181,15335,16498,6114,440,32281,1535,9253,329
363,820,11757,5114,32935,1575,28977,918,15417,12431,9253
364,5114,820,4181,32935,2001,11061,1535,6114,9989,813
365,9253,32935,9969,820,918,440,28977,12431,12355,1
366,3002,32935,4106,820,7785,28977,457,15417,3701,329
367,820,2904,32935,9989,164,28977,431,918,9253,12355
368,820,5114,164,4181,9969,32935,918,15417,245,2001
369,5114,9253,820,32935,9969,918,4181,6114,2904,440
370,820,32935,9253,1575,2904,11757,12355,918,15417,15335
371,820,4181,32935,12355,9253,918,15417,28977,1575,199
372,529,18689,379,3002,1,10798,10588,10589,10711,10721
373,820,11061,32935,13125,15417,9969,1,12431,199,5258
374,122,820,31741,136,12431,28977,3002,7785,263,1
375,820,32935,28977,3002,31043,23273,15417,263,12431,22135
376,820,4181,32935,918,28977,9253,1575,15417,2904,2001
377,32935,9253,245,820,28977,5114,440,1535,15417,12431
378,32935,9969,12431,440,9253,9863,28977,15335,12355,4181
379,820,5114,9253,32935,2001,4181,199,1,431,15417
380,820,4181,918,199,32935,15417,11061,486,16498,1
381,18689,486,3002,861,7785,457,1254,10588,820,67
382,820,32935,918,9969,15417,2001,431,4181,9989,13125
383,32935,9253,440,23273,4181,28977,19815,918,122,15417
384,820,32935,431,4181,2001,19,15417,12431,15335,1535
385,813,12431,164,11757,170,11061,8142,23273,12355,440
386,2001,820,9253,15417,32935,440,5114,4181,2904,12355
387,820,918,32935,1,9969,164,440,15335,12431,30
388,5114,9253,4181,11061,3002,23273,15417,918,2001,2904
389,820,918,15335,32935,2001,4181,11061,1,5114,15417
390,820,32935,4181,5114,918,2001,440,12431,15417,2904
391,820,32935,4181,9253,440,28977,1575,7311,11741,7785
392,820,30,440,12355,457,5,7785,22135,486,13601
393,5114,820,32935,2904,1,440,6114,15335,1575,30
394,820,12431,5258,32935,3002,11061,23273,32281,6114,7311
395,820,32935,9253,2904,1575,12431,440,28977,6114,2001
396,31737,18689,7785,18245,145,32542,400,12471,21339,30885
397,4181,32935,820,28977,440,11061,9253,5114,15417,2001
398,18689,3002,7785,1,15051,14749,14751,14811,14813,14833
399,18689,4155,6675,6033,379,7785,29093,457,5258,147
400,820,4181,32935,11757,9253,6114,22135,440,12431,1
401,820,32935,918,164,813,9969,199,6114,440,28977
402,820,440,32935,8142,12431,918,4181,9253,28977,5114
403,820,918,32935,12355,12431,15417,2001,28977,440,457
404,820,918,4181,32935,1,2001,9253,431,440,28977
405,820,32935,5114,2001,28977,164,9969,918,15417,11061
406,820,9969,32935,4181,431,918,199,15335,1,12431
407,18689,1,15197,14751,14811,14837,14921,15037,15039,15085
408,440,32935,28977,11061,12431,918,164,15417,820,8142
409,820,32935,440,5114,1535,918,2001,15417,9969,199
410,820,32935,918,4181,9253,2001,28977,440,12431,15417
411,820,918,32935,9969,813,5114,2001,28977,9253,6114
412,820,9989,9253,32935,11061,918,6114,44,2904,440
413,32935,4181,440,28977,918,9253,820,1,15417,7785
414,820,28977,122,4181,12431,11061,1690,918,8142,9253
415,820,9253,32935,15417,12431,440,12355,4181,44,918
416,820,15335,32935,2001,918,15417,440,457,10620,12431
417,820,2001,9253,32935,4181,15335,5114,28977,9969,199
418,1,5114,15417,15335,12431,9989,199,9253,6114,4181
419,199,820,32935,9253,918,4181,28977,440,15417,9969
420,820,4181,1575,32935,2904,28977,15417,12431,2001,440
421,820,32935,4181,5114,9253,918,1,12355,12431,440
422,440,4181,32935,12431,9253,9969,12355,1535,431,5114
423,820,2001,9969,32935,1,2904,1575,4181,11771,15417
424,820,4181,12431,32935,245,9253,28977,15417,8142,12355
425,820,32935,4181,15417,28977,8142,23273,918,1575,5114
426,820,15417,3002,2164,9969,486,44,32093,3228,6114
427,820,9253,32935,2001,4181,918,12355,23273,15417,440
428,4181,32935,1535,820,9969,2001,440,28977,6114,813
429,820,4181,918,9253,11061,32935,3002,28977,440,13125
430,820,32935,918,9253,4181,457,9989,15417,26055,9969
431,11061,15417,32935,11741,28977,3002,9969,820,19,918
432,820,30,9969,32935,440,9253,15417,1575,199,164
433,820,1,32935,4181,440,918,12431,5114,6114,15417
434,820,918,2001,32935,1,440,11757,12431,12355,9756
435,820,32935,2001,12355,4181,11061,918,9969,15417,28977
436,820,32935,16498,5114,918,1,2001,12431,15417,440
437,18689,3002,32542,31240,21339,30885,31741,7785,94,17741
438,820,32935,2001,5114,1575,12431,6114,918,11757,28977
439,820,9253,4181,32935,2001,2904,23273,440,2167,12431
440,820,4181,2001,32935,9253,12355,2904,440,6114,12431
441,820,32935,431,918,12431,440,15417,23273,9969,28977
442,820,9969,4181,32935,2001,918,440,15417,1,3002
443,820,32935,9969,12431,11061,918,5258,3002,28977,9253
444,820,32935,9253,12431,1,28977,813,15335,440,28891
445,820,4181,32935,12431,440,9989,11577,6702,5114,23273
446,820,32935,28977,440,15417,15335,9969,12431,918,19647
447,820,2001,2904,32935,918,30,12431,15417,32,17074
448,820,4181,5114,11061,28977,32935,6114,2001,440,199
449,820,32935,199,2001,918,164,440,15417,12355,813
450,820,160,7785,4565,329,3002,12355,19647,6114,12431
451,1575,1535,32935,820,9969,2001,9253,440,32,164
452,18245,18689,3002,12471,30885,31741,7785,486,98,21339
453,820,11061,32935,9969,28977,918,13125,5114,813,205
454,820,263,9969,15417,12431,440,5114,6114,32935,17074
455,820,32935,2001,11757,11061,16498,440,12431,918,15335
456,9253,820,32935,4181,918,2001,9969,23273,12431,28977
457,820,32935,12431,5114,440,918,9253,11061,28977,15417
458,820,32935,9253,2001,15417,5114,918,28977,4181,2904
459,820,2001,32935,9969,9253,11061,440,813,5114,918
460,820,32935,4181,10620,15335,440,6114,12431,431,2167
461,820,32935,1,5114,12431,22135,440,15417,12355,15335
462,820,32935,9989,4181,918,813,5114,440,28977,12355
463,820,4181,918,9253,32935,2904,1575,9969,15417,12355
464,820,28977,11665,12431,5507,9863,2001,16498,6114,32935
465,820,4181,9253,918,23273,28977,32935,2904,11061,17074
466,820,5114,9253,2001,32935,918,4181,440,199,12355
467,18245,529,18689,3002,21339,32542,31741,7785,23273,30885
468,918,32935,4181,820,12355,9253,15417,12431,1535,6746
469,820,32935,918,2001,12431,440,15417,6114,22135,28977
470,7785,18689,12431,31953,3002,1033,820,379,2952,19
471,820,9253,32935,918,4181,164,9969,3002,431,2001
472,31637,1698,27829,1827,202,529,322,5681,5690,387
473,820,4181,440,32935,28977,13125,15417,2904,9253,12431
474,31174,2246,32935,855,387,6802,26055,9253,17909,11061
475,820,32935,1,199,245,440,28977,15417,22135,12431
476,18245,12471,7785,1827,1690,5690,102,5682,387,10588
477,18689,3002,16934,15699,16001,16005,16009,16011,16049,16067
478,1,2001,9969,11061,6114,5258,12431,5114,15335,15417
479,820,1,32935,28977,16498,918,12355,4181,2167,15417
480,32935,820,13125,918,3002,440,15417,4181,5258,28977
481,820,4181,32935,918,16498,9969,1,28977,1575,12355
482,1,2001,820,5114,32935,9989,4181,431,12431,11061
483,820,9253,5114,32935,1,4181,918,9969,15417,12431
484,440,32935,9969,11061,11741,10162,15417,16498,12431,5040
485,820,813,32935,4181,9969,9253,918,9989,28977,12355
486,820,4181,13125,12355,32935,9253,1535,15417,16498,440
487,820,11061,12431,12355,32935,6114,15417,28977,44,2001
