,ID,Name,Genre,Studio,members,Rating,0
39,6880,Deadman Wonderland,"Action, Horror, Sci-Fi",Manglobe,453454.0,7.36,0
40,2025,Darker than Black Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",Bones,440334.0,8.18,0
41,849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",Kyoto Animation,428569.0,7.95,2
42,11061,Hunter x Hunter 2011 ,"Action, Adventure, Shounen, Super Power",Madhouse,425855.0,9.11,3
43,22535,Kiseijuu Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",Madhouse,425457.0,8.49,0
44,4898,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",A-1 Pictures,424919.0,7.94,3
45,853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",Bones,422271.0,8.31,2
46,23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",A-1 Pictures,416397.0,8.85,2
47,15809,Hataraku Maou sama ,"Comedy, Demons, Fantasy, Romance, Shounen",White Fox,409037.0,7.93,3
48,27899,Tokyo Ghoul A,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",Studio Pierrot,408357.0,7.35,0
49,31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",A-1 Pictures,402381.0,8.53,0
50,11617,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TNK,398660.0,7.55,1
51,14741,Chuunibyou demo Koi ga Shitai ,"Comedy, Drama, Romance, School, Slice of Life",Kyoto Animation,394399.0,7.86,2
52,7054,Kaichou wa Maid sama ,"Comedy, Romance, School, Shoujo",J.C.Staff,391628.0,8.17,2
53,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",Manglobe,390076.0,8.5,3
54,17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",Satelight,387100.0,8.06,3
55,5680,K On ,"Comedy, Music, School, Slice of Life",Kyoto Animation,386048.0,7.86,2
56,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",Madhouse,383914.0,8.23,0
57,13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",J.C.Staff,380375.0,8.29,2
58,813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Toei Animation,375662.0,8.29,3
59,356,Fate stay night,"Action, Fantasy, Magic, Romance, Supernatural",Studio Deen,374880.0,7.47,0
60,12189,Hyouka,"Mystery, School, Slice of Life",Kyoto Animation,372246.0,8.15,2
61,2251,Baccano ,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Brain's Base,363215.0,8.45,0
62,934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",Studio Deen,359494.0,8.06,0
63,18153,Kyoukai no Kanata,"Fantasy, Slice of Life, Supernatural",Kyoto Animation,359011.0,7.86,2
64,31240,Re Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",White Fox,355839.0,8.36,0
65,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru ,"Comedy, Drama, Romance, School",Brain's Base,353876.0,8.1,2
66,14227,Tonari no Kaibutsu kun,"Comedy, Romance, School, Shoujo, Slice of Life",Brain's Base,349836.0,7.67,2
67,28171,Shokugeki no Souma,"Ecchi, School, Shounen",J.C.Staff,348951.0,8.49,2
68,18897,Nisekoi,"Comedy, Harem, Romance, School, Shounen",Shaft,347599.0,7.77,1
69,1195,Zero no Tsukaima,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",J.C.Staff,346828.0,7.48,1
70,23283,Zankyou no Terror,"Psychological, Thriller",MAPPA,342893.0,8.18,0
71,11741,Fate Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",ufotable,340973.0,8.63,0
72,164,Mononoke Hime,"Action, Adventure, Fantasy",Studio Ghibli,339556.0,8.78,3
73,11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",Production I.G,338315.0,8.32,2
74,918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Sunrise,336376.0,8.98,3
75,28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Action, Adventure, Comedy, Fantasy, Romance",J.C.Staff,336349.0,7.81,3
76,2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",Imagin,334932.0,8.32,3
77,1482,D Gray man,"Action, Adventure, Comedy, Shounen",TMS Entertainment,334399.0,8.13,3
78,431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Studio Ghibli,333186.0,8.72,3
79,889,Black Lagoon,"Action, Seinen",Madhouse,332562.0,8.11,0
80,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",A-1 Pictures,331627.0,8.2,3
81,14345,Btooom ,"Action, Psychological, Sci-Fi, Seinen",Madhouse,329561.0,7.53,0
82,10719,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",AIC Build,325664.0,7.41,1
83,11759,Accel World,"Action, Game, Romance, School, Sci-Fi",Sunrise,324284.0,7.47,2
84,1689,Byousoku 5 Centimeter,"Drama, Romance, Slice of Life",CoMix Wave Films,324035.0,7.87,2
85,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",AIC Build,321477.0,7.27,2
86,20787,Black Bullet,"Action, Mystery, Sci-Fi, Seinen","Kinema Citrus,       Orange",320267.0,7.33,0
87,14513,Magi The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",A-1 Pictures,317513.0,8.18,3
88,1818,Claymore,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",Madhouse,316853.0,7.84,3
89,223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Toei Animation,316102.0,8.13,3
90,26243,Owari no Seraph,"Action, Drama, Shounen, Supernatural, Vampire",Wit Studio,315630.0,7.61,0
91,4654,Toaru Majutsu no Index,"Action, Magic, Sci-Fi, Super Power",J.C.Staff,313114.0,7.57,0
92,24833,Ansatsu Kyoushitsu TV ,"Action, Comedy, School, Shounen",Lerche,312654.0,8.2,3
93,28999,Charlotte,"Drama, School, Super Power",P.A. Works,310137.0,7.9,2
94,6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",Production I.G,309339.0,8.1,2
95,270,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",Gonzo,308995.0,7.58,0
96,1887,Lucky Star,"Comedy, Parody, School, Slice of Life",Kyoto Animation,305837.0,7.82,2
97,227,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi","Gainax,       Production I.G",305165.0,8.06,3
98,15583,Date A Live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",AIC Plus+,301358.0,7.41,1
99,6347,Baka to Test to Shoukanjuu,"Comedy, Romance, School, Super Power",Silver Link.,301282.0,7.72,2
100,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Artland,300030.0,8.71,3
101,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",Bones,299434.0,8.38,3
102,2993,Rosario to Vampire,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Vampire",Gonzo,299278.0,7.01,1
103,16592,Danganronpa Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Action, Horror, Mystery, Psychological",Lerche,298550.0,7.43,0
104,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire","Madhouse,       Satelight,       Graphinica",297454.0,8.48,0
105,355,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",J.C.Staff,297058.0,7.61,2
106,14467,K,"Action, Super Power, Supernatural",GoHands,297051.0,7.64,3
107,8841,Kore wa Zombie Desu ka ,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",Studio Deen,295782.0,7.54,1
108,23289,Gekkan Shoujo Nozaki kun,"Comedy, Romance, School",Doga Kobo,292622.0,8.1,2
109,1210,NHK ni Youkoso ,"Comedy, Drama, Psychological, Romance",Gonzo,291228.0,8.36,2
110,2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Madhouse,289206.0,8.29,0
111,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",A-1 Pictures,288376.0,8.43,0
112,3457,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",Studio Deen,286826.0,7.25,2
113,20785,Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",Madhouse,285317.0,7.7,2
114,8525,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",Manglobe,284846.0,7.84,1
115,20583,Haikyuu ,"Comedy, Drama, School, Shounen, Sports",Production I.G,284498.0,8.64,2
116,11887,Kokoro Connect,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Silver Link.,283847.0,7.91,2
117,6,Trigun,"Action, Comedy, Sci-Fi",Madhouse,283069.0,8.29,3
118,31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",Bones,282002.0,8.39,3
119,249,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",Sunrise,281632.0,7.91,3
120,2476,School Days,"Drama, Harem, Romance, School",TNK,279183.0,5.93,1
121,5630,Higashi no Eden,"Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",Production I.G,276593.0,7.91,0
122,17895,Golden Time,"Comedy, Romance, Seinen",J.C.Staff,273191.0,7.87,2
123,523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Studio Ghibli,271484.0,8.43,3
124,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",Studio Pierrot,268487.0,8.72,2
125,22297,Fate stay night Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",ufotable,267484.0,8.3,0
126,59,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",Madhouse,266846.0,7.5,2
127,15451,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TNK,266657.0,7.71,1
128,18507,Free ,"Slice of Life, Comedy, Sports, Drama, School","Kyoto Animation,       Animation Do",265791.0,7.54,2
129,790,Ergo Proxy,"Mystery, Psychological, Sci-Fi",Manglobe,265005.0,7.96,0
130,11597,Nisemonogatari,"Comedy, Mystery, Supernatural",Shaft,260062.0,8.2,0
131,14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",Bones,259900.0,8.08,3
132,11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",Sunrise,258914.0,8.32,2
133,1604,Katekyo Hitman Reborn ,"Action, Comedy, Shounen, Super Power",Artland,258103.0,8.27,3
134,16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui ,"Slice of Life, Comedy, School",Silver Link.,257925.0,7.2,2
135,71,Full Metal Panic ,"Action, Comedy, Mecha, Military, Sci-Fi",Gonzo,256325.0,7.72,0
136,22043,Fairy Tail 2014 ,"Action, Adventure, Comedy, Fantasy, Magic, Shounen","A-1 Pictures,       Bridge",255076.0,8.04,3
137,9041,IS Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",8bit,254543.0,6.97,3
138,10165,Nichijou,"Comedy, School, Slice of Life",Kyoto Animation,254436.0,8.5,2
139,28623,Koutetsujou no Kabaneri,"Action, Drama, Fantasy, Horror",Wit Studio,253027.0,7.3,0
140,7724,Shiki,"Mystery, Supernatural, Thriller, Vampire",Daume,251093.0,7.87,0
141,19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Madhouse,247562.0,8.69,0
142,7674,Bakuman ,"Comedy, Romance, Shounen",J.C.Staff,246899.0,8.29,2
143,7791,K On ,"Comedy, Music, School, Slice of Life",Kyoto Animation,246276.0,8.15,2
144,18115,Magi The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",A-1 Pictures,245026.0,8.4,3
145,30831,Kono Subarashii Sekai ni Shukufuku wo ,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",Studio Deen,244877.0,8.18,3
146,28907,Gate Jieitai Kanochi nite Kaku Tatakaeri,"Action, Adventure, Fantasy, Military",A-1 Pictures,244314.0,7.85,0
147,29803,Overlord,"Action, Adventure, Fantasy, Game, Magic, Supernatural",Madhouse,244268.0,8.07,0
148,22729,Aldnoah Zero,"Action, Mecha, Sci-Fi","A-1 Pictures,       TROYCA",244193.0,7.53,0
149,4382,Suzumiya Haruhi no Yuuutsu 2009 ,"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",Kyoto Animation,243448.0,7.26,2
150,16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",Production I.G,243325.0,8.44,2
151,120,Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",Studio Deen,242553.0,7.77,2
152,11633,Blood Lad,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",Brain's Base,241513.0,7.47,3
153,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Kyoto Animation,240297.0,8.69,2
154,237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",Bones,239570.0,8.13,2
155,3455,To LOVE Ru,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi",Xebec,237563.0,7.21,1
156,1840,Zero no Tsukaima Futatsuki no Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",J.C.Staff,235684.0,7.62,1
157,2034,Lovely Complex,"Comedy, Romance, Shoujo",Toei Animation,235003.0,8.15,2
158,6707,Kuroshitsuji II,"Action, Comedy, Demons, Fantasy, Shounen, Supernatural",A-1 Pictures,234955.0,7.42,3
159,14289,Sukitte Ii na yo ,"Romance, School, Shoujo",Zexcs,233410.0,7.64,2
160,8425,Gosick,"Drama, Historical, Mystery, Romance",Bones,232113.0,8.17,0
161,18277,Strike the Blood,"Action, Ecchi, Fantasy, Harem, School, Shounen, Supernatural, Vampire","Silver Link.,       Connect",231387.0,7.3,1
162,6213,Toaru Kagaku no Railgun,"Action, Sci-Fi, Super Power",J.C.Staff,231079.0,7.8,3
163,5530,Pandora Hearts,"Adventure, Fantasy, Mystery, Shounen, Supernatural",Xebec,229567.0,7.81,3
164,527,Pokemon,"Action, Adventure, Comedy, Fantasy, Kids",OLM,229157.0,7.42,3
165,23281,Psycho Pass 2,"Action, Police, Psychological, Sci-Fi",Tatsunoko Production,228435.0,7.5,0
166,30240,Prison School,"Comedy, Ecchi, Romance, School, Seinen",J.C.Staff,227734.0,7.85,1
167,5958,Sora no Otoshimono,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",AIC A.S.T.A.,227681.0,7.51,1
168,21995,Ao Haru Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",Production I.G,227417.0,7.79,2
169,225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",Toei Animation,226625.0,6.64,3
170,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",OLM,226430.0,8.47,0
171,12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Studio Chizu,226193.0,8.72,3
172,22789,Barakamon,"Comedy, Slice of Life",Kinema Citrus,225927.0,8.45,2
173,16067,Nagi no Asukara,"Drama, Fantasy, Romance",P.A. Works,224947.0,8.2,2
174,5681,Summer Wars,"Comedy, Sci-Fi",Madhouse,223359.0,8.17,2
175,43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Production I.G,223036.0,8.33,0
176,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,"Comedy, Drama, Romance, School",feel.,222994.0,8.29,2
177,11499,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",Studio Deen,222657.0,7.46,1
178,6573,Darker than Black Ryuusei no Gemini,"Action, Mystery, Sci-Fi, Super Power",Bones,222243.0,7.54,0
179,24439,Kekkai Sensen,"Action, Fantasy, Shounen, Super Power, Supernatural, Vampire",Bones,220573.0,7.72,0
180,45,Rurouni Kenshin Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai","Gallop,       Studio Deen",218928.0,8.38,3
181,28497,Rokka no Yuusha,"Action, Adventure, Fantasy, Magic, Mystery",Passione,218747.0,7.48,3
182,15315,Mondaiji tachi ga Isekai kara Kuru Sou Desu yo ,"Comedy, Fantasy, Supernatural",Diomedea,218231.0,7.72,3
183,1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",Studio Deen,218101.0,8.31,0
184,9513,Beelzebub,"Action, Comedy, Demons, School, Shounen, Supernatural",Pierrot Plus,217752.0,8.01,3
185,8675,Seitokai Yakuindomo,"Comedy, School, Shounen, Slice of Life",GoHands,217617.0,7.66,1
186,22147,Amagi Brilliant Park,"Comedy, Magic",Kyoto Animation,217003.0,7.6,2
187,25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",Studio Pierrot,216674.0,8.15,3
188,11013,Inu x Boku SS,"Comedy, Romance, Shounen, Supernatural",David Production,216204.0,7.59,2
189,47,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Tokyo Movie Shinsha,215897.0,8.17,0
190,339,Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",Triangle Staff,215829.0,8.01,0
191,23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",Studio Deen,215817.0,7.67,3
192,32,Neon Genesis Evangelion The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi","Gainax,       Production I.G",215630.0,8.52,0
193,7593,Kiss x Sis TV ,"Comedy, Ecchi, Harem, Romance, School, Seinen",feel.,215361.0,6.89,1
194,14967,Boku wa Tomodachi ga Sukunai Next,"Comedy, Harem, Romance, School, Seinen, Slice of Life",AIC Build,214319.0,7.53,1
195,27775,Plastic Memories,"Drama, Romance, Sci-Fi",Doga Kobo,213493.0,8.01,2
196,31859,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy",A-1 Pictures,213342.0,7.8,3
197,3712,Zero no Tsukaima Princesses no Rondo,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",J.C.Staff,210891.0,7.52,1
198,25183,Gangsta ,"Action, Drama, Seinen",Manglobe,210752.0,7.45,0
199,4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",Brain's Base,210736.0,8.38,2
200,5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance","Brain's Base,       Marvy Jack",210491.0,8.41,3
201,18671,Chuunibyou demo Koi ga Shitai Ren,"Comedy, Drama, Romance, School, Slice of Life",Kyoto Animation,208885.0,7.6,2
202,25157,Trinity Seven,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Supernatural",Seven Arcs Pictures,208796.0,7.37,1
203,150,Blood ,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",Production I.G,208321.0,7.74,0
204,6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",White Fox,207241.0,8.4,0
205,28701,Fate stay night Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",ufotable,205987.0,8.38,0
206,17074,Monogatari Series Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",Shaft,205959.0,8.77,0
207,1691,Kaze no Stigma,"Action, Fantasy, Magic, Romance, Shounen",Gonzo,205338.0,7.4,3
208,4214,Rosario to Vampire Capu2,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire",Gonzo,203958.0,7.13,1
209,7088,Ichiban Ushiro no Daimaou,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, School, Shounen",Artland,203618.0,7.08,1
210,1519,Black Lagoon The Second Barrage,"Action, Seinen",Madhouse,203233.0,8.24,0
211,30015,ReLIFE,"Romance, School, Slice of Life",TMS Entertainment,202249.0,8.12,2
212,15225,Hentai Ouji to Warawanai Neko ,"Harem, Comedy, Supernatural, Romance, School",J.C.Staff,201735.0,7.35,1
213,28297,Ore Monogatari ,"Comedy, Romance, Shoujo",Madhouse,200833.0,8.05,2
214,32281,Kimi no Na wa ,"Drama, Romance, School, Supernatural",CoMix Wave Films,200630.0,9.11,2
215,11285,Black Rock Shooter TV ,"Action, Drama, School, Slice of Life","Ordet,       SANZIGEN",198991.0,6.95,2
216,21603,Mekakucity Actors,"Comedy, Romance, Sci-Fi, Super Power, Supernatural",Shaft,198876.0,7.17,2
217,4752,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",Studio Deen,198492.0,7.41,2
218,31798,Kiznaiver,"Drama, Sci-Fi",Trigger,197912.0,7.54,2
219,10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Brain's Base,197439.0,8.49,2
220,877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",Madhouse,197256.0,8.47,2
221,392,Yuu Yuu Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",Studio Pierrot,195017.0,8.48,3
222,10162,Usagi Drop,"Josei, Slice of Life",Production I.G,194855.0,8.49,2
223,13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai ,"Comedy, Seinen, Slice of Life",A-1 Pictures,194791.0,7.22,2
224,857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",Toei Animation,194611.0,7.62,1
225,2759,Evangelion 1 0 You Are Not Alone,"Action, Mecha, Sci-Fi",Khara,194561.0,8.13,3
226,467,Ghost in the Shell Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",Production I.G,194491.0,8.45,0
227,10080,Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",Manglobe,194300.0,8.03,1
228,29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi, School",J.C.Staff,193822.0,7.46,1
229,32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",Bones,193716.0,8.52,3
230,28677,Yamada kun to 7 nin no Majo TV ,"Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",LIDENFILMS,193566.0,7.8,1
231,7817,B Gata H Kei,"Comedy, Ecchi, Romance, School, Seinen","Hal Film Maker,       TYO Animations",192719.0,7.06,1
232,27631,God Eater,"Action, Fantasy, Military, Sci-Fi",ufotable,192433.0,7.44,0
233,11577,Steins Gate Movie Fuka Ryouiki no D j vu,"Sci-Fi, Thriller",White Fox,192424.0,8.55,2
234,10110,Mayo Chiki ,"Comedy, Ecchi, Harem, Romance, School",feel.,192219.0,7.44,1
235,24703,High School DxD BorN,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TNK,192171.0,7.61,1
